# Math Mode golden corpus. One case per line: input <TAB> expected.
# Escapes: ␊ = newline, ␍ = carriage return, ␉ = tab (control pictures, so LaTeX
# backslashes stay literal). A leading "@opt,opt<TAB>" field flips options off
# their defaults: chem nominus dot words rootline italic noprime nofrac nosmall.
# Run by plugins-src/math-mode/test.lua (luaj CLI) and MathModePluginTest (app).

# ---- Greek and constants ----
alpha	α
alpha beta gamma	α β γ
Gamma Delta Theta Lambda Xi Pi Sigma Phi Psi Omega	Γ Δ Θ Λ Ξ Π Σ Φ Ψ Ω
Alpha	Α
epsilon	ε
varepsilon	ε
phi	φ
vartheta varpi varrho varsigma	ϑ ϖ ϱ ς
pi	π
2pi	2π
2 pi r	2 π r
pixel	pixel
pi2	π2
pir	pir
Pi	Π
PI	PI
oo	∞
-oo	−∞
infty	∞
infinity	∞
inf	inf
foo zoo too	foo zoo too
hbar ell nabla partial emptyset aleph	ℏ ℓ ∇ ∂ ∅ ℵ
del	∂
grad	∇
RR NN ZZ QQ CC HH PP FF	ℝ ℕ ℤ ℚ ℂ ℍ ℙ 𝔽
RR^n	ℝⁿ
RR^2	ℝ²
ZZ_2	ℤ₂
ZZ/nZZ	ℤ⁄nℤ
RR^(n x m)	ℝⁿˣᵐ
RR^(n times m)	ℝ^(n × m)
mu0	μ0
epsilon_0	ε₀
DeltaH	ΔH
Deltax	Deltax

# ---- superscript / subscript ----
x^2	x²
x^23	x²³
x^10	x¹⁰
x^-1	x⁻¹
10^-3	10⁻³
10^(-3)	10⁻³
x^(n+1)	xⁿ⁺¹
x^(n-1)	xⁿ⁻¹
x^(2n)	x²ⁿ
x^(a b)	xᵃᵇ
x^n-1	xⁿ−1
x^2y	x²y
x^2y^2	x²y²
e^x	eˣ
e^-x	e⁻ˣ
e^(-x)	e⁻ˣ
e^(2x)	e²ˣ
e^(-kt)	e⁻ᵏᵗ
e^(x+y)	eˣ⁺ʸ
e^(i theta)	eⁱᶿ
x^beta x^gamma x^delta x^chi	xᵝ xᵞ xᵟ xᵡ
A^T	Aᵀ
A^-1	A⁻¹
A^c	Aᶜ
2^A	2ᴬ
x^(2)	x²
f^((n))(x)	f⁽ⁿ⁾(x)
f^(-1)(x)	f⁻¹(x)
sin^2(x)	sin²(x)
sin^-1(x)	sin⁻¹(x)
(x+1)^2	(x+1)²
(-1)^n	(−1)ⁿ
(1+1/x)^x	(1+1⁄x)ˣ
1^st 2^nd 3^rd 4^th	1ˢᵗ 2ⁿᵈ 3ʳᵈ 4ᵗʰ
x^max	xᵐᵃˣ
x_1	x₁
x_12	x₁₂
x_n	xₙ
x_(n+1)	xₙ₊₁
x_(t-1)	xₜ₋₁
x_ij	xᵢⱼ
x_(i j)	xᵢⱼ
x_max	xₘₐₓ
x_min	xₘᵢₙ
v_rms	vᵣₘₛ
x_0^2	x₀²
x_1^2	x₁²
x^2_1	x²₁
a_i^2	aᵢ²
x_beta x_gamma x_rho x_phi x_chi	xᵦ xᵧ xᵨ xᵩ xᵪ
mu_0	μ₀
H_0: mu = 0	H₀: μ = 0
x_1, x_2, ..., x_n	x₁, x₂, …, xₙ
a_n = a_(n-1) + a_(n-2)	aₙ = aₙ₋₁ + aₙ₋₂
log_2(8) = 3	log₂(8) = 3
log_10 x	log₁₀ x
x^ 2	x²
x ^ 2	x²
2**10	2¹⁰
x -> 0^+	x → 0⁺
H^+	H⁺
OH^-	OH⁻
a_i_j	aᵢⱼ
|x|^2	|x|²

# ---- sup/sub fallbacks ----
x^q	x^q
x^Q x^C x^F x^S x^X x^Y x^Z	x^Q x^C x^F x^S x^X x^Y x^Z
